points=42   ; l2=4.08808 ; std=0.98898 ; min=1.41421 ; max=6.32456
points=420  ; l2=1.28666 ; std=0.72323 ; min=0.0     ; max=4.0    
points=75   ; l2=3.29575 ; std=0.96851 ; min=2.0     ; max=6.08276
points=1750 ; l2=2.86034 ; std=0.79003 ; min=0.0     ; max=6.40312
points=151  ; l2=3.38167 ; std=1.0073  ; min=1.0     ; max=5.83095
points=43   ; l2=4.52127 ; std=1.27589 ; min=2.23607 ; max=8.06226
points=441  ; l2=1.18102 ; std=0.68493 ; min=0.0     ; max=3.60555
points=92   ; l2=2.83127 ; std=0.79072 ; min=0.0     ; max=4.24264
points=1670 ; l2=2.81172 ; std=0.72235 ; min=0.0     ; max=5.65685
points=117  ; l2=3.06023 ; std=0.80222 ; min=1.41421 ; max=5.09902
points=37   ; l2=4.19362 ; std=1.11866 ; min=1.0     ; max=6.7082 
